COMPANY,ADDRESS,LATITUDE,LONGITUDE,CO TPY,NOX TPY,Pb TPY,SO2 TPY,VOC TPY,PM10 TPY,PM2.5 TPY
VIA METROPOLITAN TRANSIT AUTHORITY,"VIA METROPOLITAN TRANSIT AUTHORITY,BEXAR,TEXAS,USA",29.427076,-98.505388,1.9134,2.564,0.0,0.3961,9.2466,0.2407,0.2141
WTG GAS PROCESSING LP,"WTG GAS PROCESSING LP,BORDEN,TEXAS,USA",31.9685988,-99.9018131,32.86,91.25,0.0,0.014,16.77,1.3,1.3
LHOIST NORTH AMERICA OF TEXAS LLC,"LHOIST NORTH AMERICA OF TEXAS LLC,BOSQUE,TEXAS,USA",31.7109678,-97.5856914,497.533,867.0529,0.0001,1301.271,19.7641,189.4483,57.1558
CALPINE BOSQUE ENERGY CENTER LLC,"CALPINE BOSQUE ENERGY CENTER LLC,BOSQUE,TEXAS,USA",31.8507607,-97.69822719999999,243.6952,263.2504,0.0,9.2027,1.5843,72.63,69.6335
WESTERN WASTE OF TEXAS LLC,"WESTERN WASTE OF TEXAS LLC,BOWIE,TEXAS,USA",33.5589953,-97.84864569999999,26.1319,7.8488,0.0,17.061,3.6076,9.1512,7.5012
US DEPT OF THE ARMY,"US DEPT OF THE ARMY,BOWIE,TEXAS,USA",33.5589953,-97.84864569999999,35.7816,38.6911,0.0,8.7949,65.5986,16.5636,2.5633
WEST FRASER WOOD PRODUCTS,"WEST FRASER WOOD PRODUCTS,BOWIE,TEXAS,USA",33.4473287,-94.479976,159.631,30.1174,0.0143,8.9273,458.4691,68.0143,35.2667
TCI TEXARKANA INC,"TCI TEXARKANA INC,BOWIE,TEXAS,USA",33.425125,-94.04768820000001,31.819,37.8935,0.0,0.2273,53.7899,10.7345,10.7315
INEOS USA LLC,"INEOS USA LLC,BRAZORIA,TEXAS,USA",29.3988174,-95.26383960000001,510.1971,1099.2569,0.0,20.2349,485.3328,80.2059,73.7096
UNITED STATES DEPARTMENT OF ENERGY,"UNITED STATES DEPARTMENT OF ENERGY,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,0.1556,0.6947,0.0,0.0196,4.7933,0.0314,0.0314
BASF CORPORATION,"BASF CORPORATION,BRAZORIA,TEXAS,USA",29.0028358,-95.3936548,155.3633,455.6073,0.0055,182.6341,147.1436,205.6658,163.386
GLADIEUX METALS RECYCLING LLC,"GLADIEUX METALS RECYCLING LLC,BRAZORIA,TEXAS,USA",28.9559639,-95.3377221,0.8151,1.6728,0.0,3.7525,0.803,1.0134,1.013
DSM NUTRITIONAL PRODUCTS LLC,"DSM NUTRITIONAL PRODUCTS LLC,BRAZORIA,TEXAS,USA",29.0120469,-95.3691642,7.9891,3.6986,0.0,0.0533,6.9643,0.7496,0.4944
HC MANVEL INC,"HC MANVEL INC,BRAZORIA,TEXAS,USA",29.4627365,-95.35799399999999,10.0049,6.3265,0.0,1.7064,4.2015,3.8398,3.8398
ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,"ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,BRAZORIA,TEXAS,USA",29.2539047,-95.2085683,97.8924,296.9913,0.0,4.5315,68.8097,32.6345,32.1134
CHAMPIONX LLC,"CHAMPIONX LLC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,13.2801,1.9878,0.0,0.0514,3.4049,0.1766,0.1766
PACKAGING SERVICE COMPANY INC,"PACKAGING SERVICE COMPANY INC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,5.026,5.9796,0.0,0.0363,3.0006,0.2965,0.2965
PHILLIPS 66 COMPANY,"PHILLIPS 66 COMPANY,BRAZORIA,TEXAS,USA",29.070269,-95.754245,2.2311,3.499,0.0012,0.6333,44.9366,1.3486,1.3486
XOG RESOURCES LLC,"XOG RESOURCES LLC,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,0.072,0.086,0.0,0.001,18.4362,0.007,0.007
CHEVRON PHILLIPS CHEMICAL COMPANY LP,"CHEVRON PHILLIPS CHEMICAL COMPANY LP,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,15.8598,7.7944,0.0,0.1444,72.2404,0.4409,0.4343
VENCOREX US INC,"VENCOREX US INC,BRAZORIA,TEXAS,USA",28.9907078,-95.36140329999999,4.8,6.4,0.0,0.0347,9.616,14.1841,7.0841
SI GROUP INC,"SI GROUP INC,BRAZORIA,TEXAS,USA",28.97559799999999,-95.3418356,44.2118,87.1549,0.0,0.0831,51.0554,5.9964,5.6946
SHINTECH INCORPORATED,"SHINTECH INCORPORATED,BRAZORIA,TEXAS,USA",28.992291,-95.35349959999999,2.57,23.7654,0.0,0.63,53.4936,17.4868,17.3702
DOW CHEMICAL COMPANY,"DOW CHEMICAL COMPANY,BRAZORIA,TEXAS,USA",28.9541368,-95.35966169999999,903.9464,1498.6235,0.0072,12.2389,537.0337,346.1558,332.6553
TEXAS PETROLEUM INVESTMENT CO,"TEXAS PETROLEUM INVESTMENT CO,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,1.3304,0.3191,0.0,0.0054,2.2539,0.1853,0.1853
HOUSTON PIPELINE COMPANY LP,"HOUSTON PIPELINE COMPANY LP,BRAZORIA,TEXAS,USA",29.5744303,-95.29509329999999,0.2641,2.5811,0.0,0.0153,3.9183,0.2603,0.2603
ENERGY TRANSFER FUEL LP,"ENERGY TRANSFER FUEL LP,BRAZORIA,TEXAS,USA",29.0444147,-95.5691126,7.8081,58.7469,0.0,0.5479,1.0114,1.0637,1.0637
